Who?	چه کسی؟
You aren't really going to kill Tom, are you?	تو که واقعا نمی خواهی تام را بکشی. می خواهی؟
Your speech was appropriate for the occasion.	سخنرانی تو مناسب این مناسبت بود.
A chain is only as strong as its weakest link.	یک زنجیر فقط به اندازهٔ ضعیفترین حلقه‌اش استحکام دارد.
Any mushroom can be eaten, but some only once.	هر قارچی می‌تواند خورده شود، اما بعضی‌ها فقط یک بار.
Do you know the reason why he cut class today?	آبا می‌دانید او چرا امروز کلاس را تعطیل کرد؟
Do you think that my way of teaching is wrong?	آیا فکر میکنی که روش درس دادن من اشتباه است؟
He has married his daughter to a young lawyer.	او دخترش را به نکاح یک وکیل جوان درآورد.
He is one of the most famous singers in Japan.	او(پسر) یکی از معروفترین خوانندگان در ژاپن است.
His story wasn't appropriate for the occasion.	داستانش مناسب این مناسبت نبود.
I don't believe the child came to Tokyo alone.	من باور نمی کنم که آن بچه به تنهایی به توکیو بیاید.
I pay 30 euros for every visit to the dentist.	هر بار پیش دندانپزشک می‌روم، 30 یورو می‌پردازم.
I will tell him the news as soon as I see him.	همینکه او را ببینم، خبر را به او خواهم گفت.
I'll come by and pick you up tomorrow morning.	فردا صبح من خواهم آمد و تو را می برم.
If you should meet a bear, pretend to be dead.	اگر باید خرس را ملاقات کنید، وانمود کنید مرده‌اید.
It is like looking for a needle in a haystack.	این مثل جستجوی سوزن در کومهٔ علف است.
Our ultimate goal is to establish world peace.	هدف غایی ما برقراری صلح جهانی است.
Sorry, I didn't know that you were still here.	ببخشید،من نمی دانستم تو همچنان اینجا بودی.
The children built a sand castle on the beach.	بچه ها در ساحل قلعه شنی ساختند.
The grass is always greener on the other side.	مرغ همسایه غاز است.
The nurse cared for the patient very tenderly.	پرستار با ملاطفت بسیار از بیمار مراقبت کرد.
The police treated Tom like a common criminal.	پلیس با تام مانند یک مجرم معمولی رفتار می کرد.
The population of this country is diminishing.	جمعیت این کشور در حال کم شدن است.
There was a big fire near my house last night.	آتش سوزی بزرگی نزدیک خانه من دیشب اتفاق افتاد.
They stared at her swimming suit in amazement.	آنها با حیرت به لباس شنای او خیره شدند.
They're all clamoring to get their money back.	آنها همه برای برگشت پولشان ضجه می‌زنند.
This is true of adults as well as of children.	این امر هم در مورد کودکان و هم در مورد بزرگسالان صدق می کند.
Three-fourths of the earth's surface is water.	سه چهارم سطح زمین آب است.
Tom said that Mary would do that if she could.	تام گفت که ماری اگر بتواند، انجام خواهد داد.
Tom was ticketed for passing on a yellow line.	تام به سبب عبور از خط زرد جریمه شد.
We express our thoughts by means of languages.	ما افکارمان را به وسیله‌ی زبان بیان می‌کنیم.
We have detected an abnormality on your x-ray.	ما در عکس اشعه ایکس شما، نوعی ناهنجاری را تشخیص داده ایم.
"Thank you for helping me." "Don't mention it."	"ممنون برای کمکتان." "قابلی نداشت."
A gentleman would never do something like that.	یک شخص محترم هیچ وقت همچین کاری نمی کند.
A grand jury found him not guilty of any crime.	هیئت منصفه‌ی عالی او را از هر جرمی بی‌گناه دانست.
A man who knows two languages is worth two men.	مردی که دو زبان می‌داند به اندازهٔ دو مرد می‌ارزد.
All the apples that fall are eaten by the pigs.	تمام سیب هایی که می افتند توسط خوک ها خورده شده اند.
Could you place your bags on the scale, please?	میشه لطفاً چمدانهایتان را روی ترازو بذارید؟
Do you think that this translation is accurate?	به نظرِت این ترجمه دقیقه؟
Do you think that this translation is accurate?	فکر می‌کُنی این ترجمه دقیق باشه؟
Each person was given enough food and clothing.	به هر نفر، غذا و لباس کافی داده شد.
Had I arrived earlier, I could have seen Kelly.	اگر زودتر رسیده بودم، کلی را می توانستم ببینم.
Historically, the Persian Gulf belongs to Iran.	از لحاظ تاریخی، خلیج فارس متعلق به ایران است.
I need to talk to you about something personal.	من نیاز دارم که با تو دربارهٔ چیزی شخصی صحبت کنم.
I need to talk to you about something personal.	من احتیاج دارم که با شما دربارهٔ چیزی شخصی صحبت بکنم.
If he doesn't want to learn, we can't make him.	اگر او نمی خواهد یاد بگیرد، ما نمی توانیم او را مجبور کنیم.
In case of a fire, use this emergency stairway.	به هنگام آتش سوزی از پله های اضطراری استفاده کنید.
It amazed us to hear that things were so cheap.	از اینکه می شنیدیم کالاها چقدر ارزان هستند، تعجب کردیم.
It appeared to me that he was very intelligent.	بر من آشکار شد که او بسیار باهوش است.
Many people were deceived by the advertisement.	خیلی ها از تبلیغات فریب خوردند.
My father rarely, if ever, goes out on Sundays.	پدر من به ندرت یکشنبه های بیرون می رود.
People feel most at ease when they are at home.	مردم وقتی در خانه هستند، بیشترین احساس راحتی را می‌کنند.
See to it that you don't make the same mistake.	به این توجه کن که نباید همان اشتباه قبلی را تکرار کنی.
She seldom, if ever, goes to bed before eleven.	او به ندرت یا هیچ گاه قبل از یازده به رختخواب می رود.
She was kind enough to show me around the town.	او اینقدر مهربان بود که شهر را به من نشان دهد.
That material's going to shrink if it's washed.	آن ماده اگر شسته شود، آب خواهد رفت.
The chances are that the bill will be rejected.	هرچه شانس بود بیل از دست داد.
The children would play for hours on the beach.	بچه ها ساعت ها کنار ساحل بازی خواهند کرد.
The exact temperature is 22.68 degrees Celsius.	دمای دقیق، 22.68 درجه سلسیوس است.
The man reading a paper over there is my uncle.	آن مردی که آنجا روزنامه می خواند دایی من است.
The opposite sides of a rectangle are parallel.	اضلاع مقابل یک مستطیل موازی هستند.
The secret of getting ahead is getting started.	راز جلو افتادن، شروع کردن است.
The ugly duckling turned into a beautiful swan.	جوجه اردک زشت به یک قوی زیبا تبدیل شد.
Those people didn't tell us anything about you.	آنها راجع به تو چیزی به ما نگفتند.
Tom always dreamed of becoming a bounty hunter.	تام همیشه رویای پلیس خصوصی شدن را داشت.
Tom decided to take matters into his own hands.	تام تصمیم گرفت موارد را خود بدست گیرد.
Tom dialed Mary's number and got a busy signal.	تام با شماره ی ماری تماس گرفت و به بوق اشغال برخورد.
Tom dropped by Mary's home every day for lunch.	تام هر روز برای ناهار سرزده به خانه‌ی ماری می آمد.
Tom is the only one here who doesn't know Mary.	تام تنها کسی است این جا که مری را نمی‌شناسد.
We are going to have a party on Saturday night.	شب شنبه یک مهمانی خواهیم داشت.
We had to show our papers at the security desk.	در میز حراست می‌بایست مدارکمان را نشان دهیم.
Young people are prone to fall into temptation.	افراد جوان در معرض قرار گرفتن در وسوسه هستند.
A captain is in charge of his ship and its crew.	یک کاپیتان مسئول کشتی و خدمه آن است.
For the time being, I intend to stay at a hotel.	در حال حاضر قصد دارم در هتل بمانم.
Health and vitality are important for long life.	سلامتی و نشاط برای طول عمر مهم هستند.
Health and vitality are important for long life.	سلامتی و سرزندگی برای طول عمر مهم هستند.
I cannot thank you enough for all your kindness.	نمی توانم از تمام محبّت هایت تشکر کنم.
I couldn't think of anything appropriate to say.	من نتونستم چیز مناسبی رو واسه گفتن به ذهن بیارم.
I don't intend to get mixed up in your business.	قصد ندارم در کار شما شریک شوم.
I don't remember the last time I climbed a tree.	آخرین باری که من از درخت بالا رفتم را به یاد نمی آورم.
I will go there on foot or by bicycle next time.	من پای پیاده یا با دوچرخه بار دیگر به آنجا خواهم رفت.
I'll stand by you no matter what others may say.	من کنار تو خواهم ماند و اهمیتی ندارد که دیگران چه خواهند گفت.
I've told you a million times not to exaggerate.	من به شما یک میلیون بار گفتم اغراق نکنید.
If anybody could convince Tom, it would be Mary.	اگر کسی می توانست تام را متقاعد کند، آن ماری بود.
It seems like you're in a bad mood this morning.	به نظر می رسد که امروز صبح در حالت بدی هستی.
It took me more than a week to get over my cold.	بیشتر از یک هفته بود که سرما خوردگی ام طول کشید.
It was difficult to tell if Tom was in his room.	دشوار می شد گفت که تام در اتاقش است یا نه.
May I ask why you don't want to talk about this?	می‌توانم بپرسم چرا نمی‌خواهی درباره‌اش حرف بزنی؟
Never put off to tomorrow what you can do today.	کار امروز را به فردا میفکن.
She inferred from his silence that he was angry.	او از سکوتش استنباط کرد که خشمگین است.
The doctor told her that she should take a rest.	دکتر به او گفت او باید استراحت کند.
The exhibition will stay open for another month.	نمایشگاه برای یک ماه دیگر باز خواهند ماند.
The supermarket is open Monday through Saturday.	این سوپر مارکت از دوشنبه تا شنبه باز است.
Tom thinks that Mary will be tempted to do that.	تام فکر می‌کند که ماری به انجام‌دادن آن کار وسوسه خواهد شد.
Tom's house is only three blocks away from here.	خانه ی تام فقط سه بلوک آن طرف تر از اینجاست.
We have enjoyed peace for more than forty years.	ما بیش از 40 سال است که از صلح برخوردار شده ایم.
We hope to reach the summit before it gets dark.	امیدواریم قبل از آنکه هوا تاریک شود به قله برسیم.
You may catch sight of our house from the train.	می توانی خانه ما را از قطار ببینی.
Difficult problems require imaginative solutions.	مسائل دشوار به راه‌حل‌های تخیلی نیاز دارند.
Do people ever accuse you of being temperamental?	آیا مردم هرگز شما را به دمدمی مزاج بودن متهم می‌کنند؟
Do you realize how much this is going to cost us?	آیا می دانید این برای ما چقدر هزینه خواهد داشت؟
Don't look down on him merely because he is poor.	به او بد نگاه نکن چون که تنها او بی پول است.
I can't say I share your enthusiasm for the idea.	نمی توانم بگویم که در شور و اشتیاقت برای این ایده سهیم هستم.
I congratulated him on passing the entrance exam.	من به دلیل قبولی در آزمون ورودی به او تبریک گفتم.
I have a friend whose father is a famous pianist.	من دوستی دارم که پدرش پیانیست مشهوری است.
I haven't done anything like this in a long time.	خیلی وقت است چنین کاری نکرده‌ام.
I'll help my mother wash the dishes after supper.	بعد از شام در شستن ظرف‌ها به مادرم کمک خواهم کرد.
If you see her from a distance, she is beautiful.	اگر او را با فاصله ببینی، او زیبا است.
It is impossible for him to finish it in an hour.	برای او غیر ممکن است که آن را تا یک ساعت دیگر تمام کند.
It took Tom a long time to get over Mary's death.	مدّت زیادی برای تام طول کشید تا تام با مرگ ماری کنار بیاید.
It took me more than a month to get over my cold.	یک ماه طول کشید تا سرماخوردگی من بهبود یافت.
My grandmother never changed her style of living.	مادربزرگ من هیچ گاه مدل زندگی اش را عوض نکرد.
She was in trouble because she lost her passport.	او مشکل داشت زیرا گذرنامه اش را گم کرده بود.
Strawberries sell for a high price in the winter.	قیمت توت فرنگی در زمستان بسیار بالاست.
Tom said that Mary was going to help us tomorrow.	تام گفت که قرار است ماری فردا به ما کمک کند.
What is the difference between reality and truth?	فرق میان حقیقت و واقعیت چیست؟
You aren't really going to vote for Tom, are you?	تو که واقعا نمی خواهی به تام رای دهی. می خواهی؟
A good many people have told me to take a holiday.	خیلی ها به من پیشنهاد رفتن به تعطیلات را داده اند.
A piano is expensive, but a car is more expensive.	یک پیانو گران است، اما یک ماشین گرانتر است.
A policeman asked the girls if the car was theirs.	پلیس از دختران پرسید که آیا ماشین مال آنهاست.
All generalizations are false, including this one.	همه‌ی تعمیم‌دادن‌ها اشتباه‌اند، ازجمله همین یکی.
Didn't I tell you that you needed to study harder?	بهت نگفتم باید بیشتر درس می‌خواندی؟
Do people ever accuse you of being self-indulgent?	آیا تا کنون مردم شما را متهم به لوس شدن کرده‌اند؟
Do you know any restaurants with good Korean food?	آیا رستورانی با غذای خوب کره ای می شناسی؟
His low salary prevents him from buying the house.	حقوق کم او او را از خانه خریدن باز می دارد.
I put in an hour of jogging before I go to school.	قبل از اینکه به مدرسه بروم، یک ساعت پیاده روی می کنم.
I wanted some salt, but there was none in the jar.	من نمک می خواستم، ولی در بطری شیشه ای هیچ نبود.
I would buy this watch, except it's too expensive.	من این ساعت را می خریدم، اگر که گران نبود.
I'm going to change into more comfortable clothes.	من برم یک لباس راحت تر بپوشم.
It is the last straw that breaks the camel's back.	آخرین پرکاه کمر شتر را شکست.
My gut feeling is that Tom won't show up tomorrow.	به دلم افتاده که فردا تام سروکله‌اش پیدا نمیشه.
My mother has been in the hospital until recently.	مادرم تا چندی پیش در بیمارستان بوده است.
Not only his son, but his daughter is also famous.	علاوه بر پسرش، دخترش نیز مشهور است.
Please fill in your name and address on this form.	لطفا اسم و آدرست را در این فرم پرکن
Prices have been gradually rising in recent years.	قیمت ها به تدریج در طی سالهای اخیر افزایش یافته اند.
She worked so hard that eventually she became ill.	او آنقدر زیاد کار میکند که بالاخره بیمار میشود.
The cold weather may keep the plants from budding.	هوای سرد ممکن است جلوی غنچه کردن گیاهان را بگیرد.
The date and place of the meeting have been fixed.	تاریخ و زمان جلسه ثابت و معین شده است.
The hotel at which we stayed was very comfortable.	هتلی که ما در آن اقامت داشتیم،بسیار راحت بود.
The ice is so thin that it won't bear your weight.	یخ نازک است طوری که وزنت تحمل نخواهد کرد.
The prince learned English from the American lady.	شاهزاده، انگلیسی را، از آن زن آمریکایی یاد گرفت.
The publishers of that newspaper are very liberal.	ناشران آن روزنامه بسیار آزاد اندیش هستند.
The publishers of that newspaper are very liberal.	ناشران آن روزنامه بسیار لیبرال هستند.
They had to find the strongest candidate possible.	آنها می‌بایست قوی‌ترین نامزد ممکن را پیدا کنند.
They told us we could go home because of the snow.	آنها به ما گفتند که به خاطر برف می توانیم به خانه هایمان برویم.
Tom circled the block looking for a place to park.	تام به دنبال جایی برای پارک دور بلوک چرخید.
Tom said that Mary was likely to be here tomorrow.	تام گفت که ماری به احتمال زیاد فردا اینجا خواهد بود.
We came to the conclusion that we should help him.	ما به این نتیجه رسیدیم که باید به او کمک کنیم.
When angry, count to four. When very angry, swear.	وقتی عصبانی هستی تا چهار بشمار. وقتی خیلی عصبانی هستی لعنت بفرست.
Who was the last person to log on to the computer?	آخرین کسی که به کامپیوتر وصل شد، کی بود؟
Women who seek to be equal with men lack ambition.	زنانی که می خواهند با مردان برابر شوند، بلند همت نیستند.
You aren't really going to join the army, are you?	تو که واقعا نمی خواهی به سپاه بپیوندی. می خواهی؟
You'll soon come to enjoy the food and drink here.	به زودی از غذا و نوشیدنی اینجا لذت خواهید برد.
After all day in the sun, Tom had a sunburned nose.	پس از گذراندن تمام روز در آفتاب، بینی تام آفتاب سوخته شده بود.
All the girls seem to have fallen in love with Tom.	به نظر می رسد که تام دل تمام دخترها را برده است.
Children will believe what their parents tell them.	کودکان آن چیزی را که والدینشان به آنها می گویند باور خواهند کرد.
Get a bicycle. You will not regret it, if you live.	یک دوچرخه بخرید. پشیمان نخواهید شد، اگر زنده بمانید.
He confided in me things he would tell no one else.	او چیزهایی را با من در میان می‌گذارد که به هیچکس دیگر نمی‌گوید.
He was never to return to his native country again.	او هیچگاه دوباره به کشور موطن خود بازنگشت.
He went to Italy for the purpose of studying music.	او به ایتالیا رفت به قصد خواندن موسیقی.
I don't feel well. Could you give me some medicine?	حالم خوب نیست.می شود مقداری دارو به من بدهی؟
I make it a rule never to smoke while I'm sleeping.	من با خود عهد کرده‌ام هنگام خوابیدن هرگز سیگار نکشم.
I think a movie is more entertaining than any book.	من فکر می کنم که یک فیلم بیشتر از یک کتاب سرگرم کننده است.
If I wait, what's the possibility I can get a seat?	اگر منتظر شوم، چقدر احتمال دارد جا گیرم بیاید؟
If a fight is inevitable, you have to strike first.	اگر نبرد اجتناب‌ناپذیر باشد، مجبورید اول حمله کنید.
In the land of the blind, the one-eyed man is king.	در سرزمین نابینایان، مرد یک چشم شاه است.
It was in 1989 that the Berlin Wall was taken down.	در سال ۱۹۸۹ بود که دیوار برلین برچیده شد.
It's not a good idea to ask a woman how old she is.	ایده خوبی نیست که از یک زن بپرسید شما چند سالتونه؟
Man is not made to understand life, but to live it.	انسان نه برای فهمیدن زندگی، بلکه برای تجربه کردن آن ساخته شده است.
She's intent on going to New York to study fashion.	او قصد دارد برای تحصیل در زمینه مد به نیویورک برود.
The following day he was found dead in the bedroom.	روز بعد، او را مرده در اتاق خواب پیدا کردند.
The locusts had destroyed everything in their path.	ملخ‌ها هر چیزی را در مسیرشان نابود کردند.
Tom agreed to meet Mary in front of the laundromat.	تام پذیرفت که با ماری جلوی لاندرومات ملاقات کند.
Tom chewed Mary out for staying out all night long.	تام برای بیرون ماندن در تمام شب، ماری را سرزنش کرد.
Tom chewed Mary out for staying out all night long.	تام ماری را سرزنش کرد. زیرا تمام شب بیرون مانده بود.
Tom didn't feel comfortable driving Mary's new car.	تام از راندن ماشین ماری احساس راحتی نمی کرد.
Tom drew a happy face on the cover of his notebook.	تام چهره ی شادمانی روی جلد دفترش نقاشی کرد.
We walked along the busy street, singing old songs.	در حالی که در خیابان های شلوغ قدم می زدیم، آوازهای قدیمی را می خواندیم.
We're trying to find somebody who can speak French.	ما تلاش می‌کنیم کسی را پیدا کنیم که فرانسوی صحبت می‌کند.
You aren't really going to argue with Tom, are you?	تو که واقعا نمی خواهی با تام مجادله کنی، می خواهی؟
"What's the purpose of your visit?" "I'm a tourist."	هدف از سفر چیست؟ من جهانگرد هستم.
A clear conscience is the sure sign of a bad memory.	وجدان راحت نشانهٔ آشکار کم حافظگی است.
Being a doctor helped me greatly during the journey.	دکتر بودنم در طی سفر به من کمک بزرگی کرد.
He is reticent and he never speaks unless spoken to.	او تودار است و هرگز صحبت نمی‌کند مگر اینکه با او صحبت شود.
He keeps telling the same jokes over and over again.	او مدام یک جک را چندین بار می گفت.
I don't suppose you know anything about Tom, do you?	فکر نکنم شما چیزی راجع به تام بدانید. می دانید؟
If you can't stand the heat, get out of the kitchen.	اگر نمی‌توانید در مقابل گرما ایستادگی کنید از آشپزخانه خارج شوید.
Iran is the eighteenth largest country in the world.	ایران، هجدهمین کشور بزرگ دنیا است.
My mother hasn't slept in 3 days due to her illness.	مادرم به خاطر بیماری اش طی 3 روز گذشته نخوابیده است.
No matter how rich he may be, he is never contented.	فرقی ندارد که او چقدر ثروتمند باشد، او هرگز قانع نخواهد شد.
That's an interesting proposal. I'll think about it.	پیشنهاد جالبی است. راجع به آن فکر خواهم کرد.
The dead body was identified by a mole on the cheek.	جسد به کمک یک خال روی گونه شناسایی شد.
The most beautiful flowers have the sharpest thorns.	زیباترین گلها تیزترین خارها را دارند.
The purpose of a roundabout is to slow down traffic.	هدف از مسیر غیرمستقیم، کاهش ترافیک است.
The shoemaker said the shoes were too old to repair.	موزه دوز گفت کفشها برای تعمیر زیادی کهنه هستند.
The situation is getting worse and worse day by day.	وضعیت روز به روز بدتر و بدتر می‌شود.
They threatened to kill me so I gave them my wallet.	آنها مرا تهدید به مرگ کردند بنا براین من کیفم را به آنها دادم.
Tokyo is more populous than any other city in Japan.	توکیو از هر شهر دیگری در ژاپن پرجمعیت تر است.
Tom doesn't like it when this kind of stuff happens.	وقتی چنین اتفاقاتی می افند تام خوشحال نمی شود.
Tom first came to Japan when he was three years old.	تام اولین بار وقتی سه ساله بود، به ژاپن آمد.
Tom is the one who told me that Mary didn't like me.	تام کسی است که به من گفت مری دوستم ندارد.
Tom sold everything he owned and moved to Australia.	تام دار و ندارش را فروخت و به استرالیا نقل مکان کرد.
We should make every effort to maintain world peace.	ما باید هر گونه تلاشی را جهت حفظ صلح جهانی انجام دهیم.
You aren't really going to drive Tom's car, are you?	تو که واقعا نمی خواهی ماشین تام را برانی، می خواهی؟
Always keep a bucket of water handy, in case of fire.	همیشه یک سطل آب برای آتش احتمالی نگهدار.
Didn't I tell you that you needed to get there early?	بهت نگفتم باید زود اون جا می‌رسیدی؟
He didn't trust his brother enough to confide in him.	او به برادرش به اندازه کافی اعتماد نکرد تا او را محرم خود سازد.
I couldn't think of any reason why Tom would be late.	نمی توانم علّتی بیابم که چرا تام باید دیر کند.
I couldn't think of any reason why Tom would be late.	دلیلی به فکرم نمی رسد که تام دیر کند.
I don't think that we should leave the door unlocked.	من فکر نمی‌کنم که باید در را قفل‌نشده رها کنیم.
I know someone who may be interested in your project.	کسی را می شناسم که ممکنه به پروژه شما علاقمند باشه.
I think Tom will come, but it's hard to say for sure.	فکر کنم تام می آید. امّا دشوار می توان با اطمینان چنین گفت.
I think it's impossible for him to solve the problem.	فکر می‌کنم برای او امکان دارد که مسئله را حل کند.
If you make your own clothes, it will save you money.	اگر لباس‌هایتان را خودتان تهیه کنید، پول زیادی صرفه‌جویی می‌کنید.
If you're wrong, admit it. If you're right, be quiet.	اگر اشتباه می‌کنی، آن را بپذیر. اگر حق با تو است، خاموش باش.
Injustice anywhere is a threat to justice everywhere.	بی عداالتی در هر جا که باشد، تهدیدی برای عدالت در همه جاست.
It is difficult to express one's thoughts in English.	بیان افکار به زبان انگلیسی دشوار است.
It pays in the long run to buy goods of high quality.	خریدن کالاهایی با کیفیت بالا عاقبت کار ساز است.
Leaving the children alone was sheer thoughtlessness.	تنها رها کردن کودکان، یک بی‌فکری محض بود.
Mary is not poor. On the contrary, she is quite rich.	ماری ندار نیست.اتفاقا او کمی پولدار است.
My life would have been completely empty without you.	بدون شما زندگی من کاملاً خالی می‌بود.
One is more prone to make mistakes when one is tired.	وقتی خسته هستیم بیشتر در معرض ارتکاب به اشتباه هستیم.
People usually don't like what they can't understand.	افراد معمولاً آنچه نمی‌فهمند را دوست ندارند.
Please forgive me for opening your letter by mistake.	ببحشید که من اشتباهاً نامه‌ی شما را باز کردم.
She lost her way and on top of that it began to rain.	او راهش را گم کرد و علاوه بر این، باران نیز شروع به باریدن کرد.
That isn't the main reason that Tom wants to do that.	این دلیل اصلیِ اینکه تام می‌خواهد آن کار را انجام دهد، نیست.
The campaign was successful and she won the election.	کارزار تبلیغاتی موفقیت‌آمیز بود و او در انتخابات پیروز شد.
The train had already left when I got to the station.	وقتی من به ایستگاه رسیدم، قطار قبل از آن رفته بود.
They explored the desert in quest of buried treasure.	آنها کویر را در جستجوی گنج کاوش کردند.
Tom couldn't see the lake from where he was standing.	تام نمی توانست از آنجایی که ایستاده بود، دریاچه را ببیند.
Tom is the one who told me when the meeting would be.	تام کسی است که به من گفت زمان ملاقات کی خواهد بود.
What criteria do you use in deciding who to vote for?	برای تصمیم‌گیری در مورد اینکه به چه کسی رأی بدهید، از چه معیارهایی استفاده می‌کنید؟
When I was a child, our house seemed bigger than now.	هنگامی که بچه بودم، خانه مان بزرگ تر از اکنون به نظر می رسید.
When Tom stopped for a stop sign, his engine stalled.	وقتی تام مقابل تابلوی ایست ایستاد، موتورش واماند.
When the telephone rings, you must answer right away.	هنگامی که تلفن زنگ می‌خورد، تو باید فوراً پاسخ بدهی.
When the telephone rings, you must answer right away.	وقتی که تلفن زنگ می‌زند، شما فوراً باید جواب دهید.
After a couple of drinks, the guy was feeling no pain.	بعد از چند نوشیدنی، دیگر آن مرد دردی احساس نمی کرد.
In the beginning God created the heaven and the earth.	در ابتدا خداوند بهشت و زمین را آفرید.
Please give me some kind of medicine to curb the pain.	لطفا چند نوع دارو به من بدهید تا دردم را تسکین دهد.
She made arrangements to get him into a good hospital.	او ترتیب کارها را داده تا او را به یک بیمارستان خوب ببرد.
The dullest pencil is better than the sharpest memory.	نتراشیده‌ترین مداد بهتر از هوشیارترین حافظه است.
There's a small possibility that Tom will be arrested.	احتمال کوچکی وجود دارد که تام دستگیر شود.
Tom got so absorbed in his work that he forgot to eat.	تام به قدری جذب کارش شده بود که یادش می‌رفت غذا بخورد.
Tom is the one who told me that I should study French.	تام کسی است که به من گفت باید فرانسوی یاد بگیرم.
Children found Christmas presents hidden under the bed.	بچه ها هدایای کریسمس را که زیر تخت پنهان شده بود، پیدا کردند.
Don't cry because it's over. Smile because it happened.	گریه نکن که چرا پایان یافت، بخند زیرا اتفاق افتاده بود.
It's easy to make friends, but hard to get rid of them.	دوست شدن آسان است، ولی از شر آنها خلاص شدن سخت است.
My mother tasted the soup and added a little more salt.	مادرم سوپ را چشید و بعد کمی نمک به آن اضافه کرد.
Not all horses were born equal. A few were born to win.	اسبها همه برابر زاده نشدند. معدودی از آنها برای بردن زاده شدند.
This cola has lost its fizz and doesn't taste any good.	این کولا گاز خود را از دست داده است و طعم خوبی ندارد.
Tom didn't seem terribly interested in learning French.	تام چندان علاقه مند به آموزش فرانسه به نظر نمی رسید.
Tom didn't seem terribly interested in learning French.	به نظر نمی رسید تام چندان علاقه مند به آموزش فرانسه باشد.
Tom double-checked his door to make sure it was locked.	تام دوباره درب را بررسی کرد تا مطمئن شود قفل است.
Words cannot express the extent to which you are wrong.	کلمات از بیان اشتباه شما قاصر اند.
Any teacher that can be replaced by a machine should be.	معلمی که بتواند توسط ماشین جایگزین شود، باید بشود.
Experience is the name everyone gives to their mistakes.	تجربه نامیست که هر کس به شکست‌هایش می‌دهد.
He who thinks he has learned enough has learned nothing.	آنکه می‌پندارد که به اندازهٔ کافی آموخته است، هیچ چیز نیاموخته است.
If I'd had more time, I'd have written a shorter letter.	اگر بیشتر وقت داشتم، یک نامهٔ کوتاه‌تر نوشته بودم.
Never tell the truth to people who are not worthy of it.	هیچوقت به افرادی که لیاقتش را ندارند صداقت نورزید.
The more you explain it, the more I don't understand it.	هرچه بیشتر آن را توضیح می‌دهید، من بیشتر آنرا نمی‌فهمم.
These clothes are not appropriate for a cold winter day.	این لباس ها واسه یه روز سرد زمستانی مناسب نیست.
They are filibustering to prevent the bill from passing.	آنها تعلل می‌کنند تا مانع آمدن لایحه شوند.
This is by far the best seafood restaurant in this area.	این تا کنون بهترین رستوران غذاهای دریایی در این منطقه است.
Tom arrived at 2:30 and Mary arrived a short time later.	تام در ساعت 2:30 رسید و ماری مدّک کوتاهی بعد از آن رسید.
Tom is the one who told me why I needed to go to Boston.	تام کسی است که به من گفت چرا باید به بوستون بروم.
Which do you like better, rock music or classical music?	از کدامیک بیشتر خوشتان می‌آید، موسیقی راک یا موسیقی کلاسیک؟
You are old enough to know better than to act like that.	تو آنقدر بزرگ شده ای که بدانی بهتر از آن باید رفتار کنی.
You aren't really going to go camping with Tom, are you?	تو که واقعا با تام نمی روی اردو. می روی؟
You must not despise a man because he is poorly dressed.	نباید یک آدم را به خاطر اینکه لباس‌های خوبی ندارد، کوچک بشمارید.
You should ask your father for his advice and follow it.	تو باید از پدرت راهنمایی بخواهی و به آن عمل کنی.
You shouldn't respect someone just because they're rich.	فقط چون کسی پولداره نباید بهش احترام بگذارید.
As always, I could only hope the police wouldn't stop me.	مثل همیشه تنها امیدم این بود که پلیس مرا متوقف نکند.
As far as I know, this is the only translation available.	این که تنها ترجمه ی موجود است،دور از ذهن من بود.
As soon as you trust yourself, you will know how to live.	به محض اینکه به خودت اعتماد کنی، خواهی فهمید که چگونه زندگی کنی.
Every day I waited for her at the bookstore after school.	هر روز بعد از مدرسه در کتابفروشی منتظر او می ماندم.
If he calls, tell him I will get in touch with him later.	اگر او زنگ زد به او بگو که بعدا با او تماس می گیرم.
If he wanted to get to London today, he should leave now.	اگر بخواهد امروز به لندن برسد، باید همین الان برود.
In many countries, being gay is a cause for imprisonment.	در خیلی از کشورها، همجنس باز بودن دلیلی است برای زندانی کردن.
It's too far to walk to the station, so let's take a bus.	پیاده روی تا ایستگاه طولانی است پس بیا سوار اتوبوس شویم.
My father will cook me a delicious meal tomorrow morning.	فردا صبح، پدرم غذای خوشمزه ای برایم می پزد.
Quite a few people were present at the meeting yesterday.	تعداد نسبتًاً اندکی از مردم در جلسه دیروز حاضر بودند.
The more you study, the more you discover your ignorance.	هر چه بیشتر بخوانی، بیشتر به نادانیت پی می بری.
Tom hid the gun under a bunch of oily rags in his garage.	تام زیر یک دسته از لباس‌های روغنی کهنه توی گاراژش اسحله را پنهان کرد.
Tom said that he thought that Mary would need to do that.	تام گفت که فکر می کند ماری باید این کار را انجام دهد.
Do you really need to ask the question to know the answer?	آیا برای فهمیدن جواب حتماً باید سؤال بپرسی؟
He was so confused that his answer did not make any sense.	او به حدی گیج شده بود که جوابش به هیچ وجه عاقلانه نبود.
I forgot to turn off the television before going to sleep.	من فراموش کردم که تلویزیون را قبل به خواب رفتن خاموش کنم.
I had to abstain from smoking while I was in the hospital.	من مجبور بودم هنگامی که در بیمارستان بودم از سیگار کشیدن اجتناب کنم.
I have a lot of flowers. Some are red and some are yellow.	من گلهای بسیاری دارم.برخی شان سرخند و برخی زرد.
